drug name1,drug name2,severity,message
fluoxetine,tramadol,high,Serotonin syndrome risk
sertraline,tramadol,high,Serotonin syndrome risk
paroxetine,tramadol,high,Seizure risk
duloxetine,tramadol,high,Serotonin syndrome risk
venlafaxine,tramadol,high,Serotonin syndrome
amitriptyline,fluoxetine,moderate,Increased TCA levels
amitriptyline,sertraline,moderate,QT prolongation risk
clonazepam,alprazolam,moderate,Increased sedation
diazepam,opioids,high,Respiratory depression
morphine,benzodiazepines,high,Respiratory depression
fentanyl,benzodiazepines,high,Respiratory depression
tramadol,ssri,high,Serotonin syndrome risk
carbamazepine,phenytoin,moderate,Altered drug levels
carbamazepine,warfarin,moderate,Reduced warfarin effect
phenytoin,isoniazid,high,Phenytoin toxicity
phenytoin,rifampicin,moderate,Reduced phenytoin levels
valproate,lamotrigine,high,Lamotrigine toxicity
valproate,carbamazepine,moderate,Altered anticonvulsant levels
levothyroxine,iron,moderate,Reduced levothyroxine absorption
levothyroxine,calcium carbonate,moderate,Reduced absorption
levothyroxine,omeprazole,moderate,Reduced absorption
fluconazole,warfarin,high,Increased bleeding risk
ketoconazole,warfarin,high,Increased INR
itraconazole,simvastatin,high,Rhabdomyolysis risk
rifampicin,oral contraceptives,high,Reduced contraceptive efficacy
rifampicin,warfarin,moderate,Reduced anticoagulant effect
rifampicin,phenytoin,moderate,Altered phenytoin levels
isoniazid,phenytoin,high,Phenytoin toxicity
isoniazid,carbamazepine,moderate,Increased levels
metronidazole,alcohol,high,Disulfiram-like reaction
metronidazole,warfarin,high,Increased bleeding risk
tinidazole,alcohol,high,Disulfiram-like reaction
fluconazole,statins,moderate,Myopathy risk
itraconazole,statins,high,Rhabdomyolysis risk
erythromycin,statins,high,Myopathy risk
clarithromycin,warfarin,high,Increased bleeding risk
clarithromycin,digoxin,high,Digoxin toxicity
azithromycin,warfarin,moderate,Increased bleeding risk
ciprofloxacin,theophylline,high,Theophylline toxicity
ciprofloxacin,warfarin,moderate,Increased INR
levofloxacin,warfarin,moderate,Increased INR
moxifloxacin,antiarrhythmics,high,QT prolongation
ondansetron,ssri,moderate,QT prolongation risk
ondansetron,amiodarone,high,QT prolongation
domperidone,clarithromycin,high,Cardiac arrhythmia risk
domperidone,ketoconazole,high,QT prolongation
ranitidine,warfarin,moderate,Altered anticoagulant effect
omeprazole,warfarin,moderate,Increased INR
pantoprazole,clopidogrel,low,Minor interaction
esomeprazole,clopidogrel,moderate,Reduced antiplatelet activity
lansoprazole,warfarin,moderate,Increased INR
insulin,losartan,low,Minor interaction
insulin,amlodipine,low,Minor interaction
insulin,digoxin,low,Minor interaction
insulin,furosemide,moderate,Altered glucose control
